CIP Code,Award Level,Major,Gender,Non Resident Alien,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,m
11.0701,5 - Bachelor's degree,1,Men,6,5,0,7,3,0,12,0,1,34,
Computer Science,,,,,,,,,,,,,,
Women,1,2,0,2,1,0,3,1,1,11,,,,
Total,7,7,0,9,4,0,15,1,2,45,No,,,
11.0701,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Computer Science,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,0,0,1,0,0,0,0,0,1,No,,,
16.0402,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Russian Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.0402,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Russian Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,4,0,0,4,,,,
Total,0,0,0,0,0,0,5,0,0,5,No,,,
16.0501,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
German Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,0,0,2,0,0,2,No,,,
16.0501,5 - Bachelor's degree,2,Men,0,1,0,0,0,0,0,0,0,1,
German Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,1,0,0,0,0,0,0,0,1,No,,,
16.0901,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,1,1,0,3,
French Language and Literature,,,,,,,,,,,,,,
Women,0,2,0,0,0,0,1,1,0,4,,,,
Total,1,2,0,0,0,0,2,2,0,7,No,,,
16.0901,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
French Language and Literature,,,,,,,,,,,,,,
Women,0,3,0,0,0,0,3,0,0,6,,,,
Total,0,3,0,0,0,0,3,0,0,6,No,,,
16.0905,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,0,0,0,1,,,,
Total,0,0,0,0,1,0,0,0,0,1,No,,,
16.0905,5 - Bachelor's degree,2,Men,0,1,0,0,0,0,2,0,0,3,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,4,0,1,0,0,1,0,0,6,,,,
Total,0,5,0,1,0,0,3,0,0,9,No,,,
16.12,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
"Classics and Classical Languages, Literatures, and Linguistics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
22.0203,5 - Bachelor's degree,1,Men,0,2,0,1,2,0,1,0,0,6,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,0,1,0,2,1,0,3,0,0,7,,,,
Total,0,3,0,3,3,0,4,0,0,13,No,,,
22.0203,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,1,0,1,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,0,2,0,0,1,0,0,0,0,3,,,,
Total,0,2,0,0,1,0,0,1,0,4,No,,,
23.0101,5 - Bachelor's degree,1,Men,0,1,0,1,1,0,3,1,0,7,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,1,0,0,5,6,0,12,0,0,24,,,,
Total,1,1,0,6,7,0,15,1,0,31,No,,,
23.0101,5 - Bachelor's degree,2,Men,0,0,0,0,1,0,3,0,0,4,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,3,0,0,4,,,,
Total,0,0,0,1,1,0,6,0,0,8,No,,,
26.0101,5 - Bachelor's degree,1,Men,0,2,0,0,1,0,8,0,1,12,
"Biology/Biological Sciences, General",,,,,,,,,,,,,,
Women,1,1,0,3,1,0,4,1,2,13,,,,
Total,1,3,0,3,2,0,12,1,3,25,No,,,
26.0299,5 - Bachelor's degree,1,Men,0,0,0,1,1,0,3,0,0,5,
"Biochemistry, Biophysics and Molecular Biology, Other",,,,,,,,,,,,,,
Women,0,1,0,3,1,0,3,1,1,10,,,,
Total,0,1,0,4,2,0,6,1,1,15,No,,,
26.1501,5 - Bachelor's degree,1,Men,0,3,0,3,0,0,1,0,0,7,
Neuroscience,,,,,,,,,,,,,,
Women,1,3,0,3,2,0,5,0,0,14,,,,
Total,1,6,0,6,2,0,6,0,0,21,No,,,
26.1501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,1,0,2,
Neuroscience,,,,,,,,,,,,,,
Women,0,1,0,2,0,0,0,0,0,3,,,,
Total,0,1,0,2,0,0,1,1,0,5,No,,,
27.0101,5 - Bachelor's degree,1,Men,6,1,0,4,2,0,13,2,0,28,
"Mathematics, General",,,,,,,,,,,,,,
Women,0,1,0,1,0,0,5,0,0,7,,,,
Total,6,2,0,5,2,0,18,2,0,35,No,,,
27.0101,5 - Bachelor's degree,2,Men,4,2,0,4,2,0,4,0,1,17,
"Mathematics, General",,,,,,,,,,,,,,
Women,1,2,0,3,1,0,7,1,1,16,,,,
Total,5,4,0,7,3,0,11,1,2,33,No,,,
27.0501,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,1,0,0,2,
"Statistics, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,1,0,0,1,0,0,1,0,0,3,No,,,
27.0501,5 - Bachelor's degree,2,Men,1,1,0,1,0,0,2,0,1,6,
"Statistics, General",,,,,,,,,,,,,,
Women,1,0,0,2,0,0,0,1,0,4,,,,
Total,2,1,0,3,0,0,2,1,1,10,No,,,
30.9999,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Multi-/Interdisciplinary Studies, Other",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,1,0,0,2,No,,,
30.9999,5 - Bachelor's degree,2,Men,0,0,0,0,1,0,0,0,0,1,
"Multi-/Interdisciplinary Studies, Other",,,,,,,,,,,,,,
Women,1,0,0,0,0,0,0,0,0,1,,,,
Total,1,0,0,0,1,0,0,0,0,2,No,,,
38.0101,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,2,0,1,3,
Philosophy,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,3,0,1,5,No,,,
38.0101,5 - Bachelor's degree,2,Men,0,1,0,0,0,0,2,1,1,5,
Philosophy,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,1,0,2,,,,
Total,0,1,0,1,0,0,2,2,1,7,No,,,
38.0201,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,0,0,0,1,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,0,0,1,,,,
Total,1,1,0,0,0,0,0,0,0,2,No,,,
38.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,1,1,0,3,,,,
Total,0,0,0,0,1,0,2,1,0,4,No,,,
40.0201,5 - Bachelor's degree,0,Men,0,0,0,0,0,0,0,0,0,0,
Astronomy,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
40.0501,5 - Bachelor's degree,1,Men,0,1,0,0,1,0,0,0,0,2,
"Chemistry, General",,,,,,,,,,,,,,
Women,1,1,0,0,0,0,1,0,0,3,,,,
Total,1,2,0,0,1,0,1,0,0,5,No,,,
40.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
"Chemistry, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
40.0601,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,0,1,0,2,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,1,0,0,1,0,3,0,0,5,,,,
Total,0,2,0,0,1,0,3,1,0,7,No,,,
40.0601,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,2,0,0,2,,,,
Total,0,0,0,0,0,0,3,0,0,3,No,,,
40.0801,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
"Physics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,0,0,2,0,0,2,No,,,
40.0801,5 - Bachelor's degree,2,Men,3,1,0,1,0,0,2,0,0,7,
"Physics, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,3,1,0,2,0,0,2,0,0,8,No,,,
42.2799,5 - Bachelor's degree,1,Men,1,0,0,0,3,0,8,1,0,13,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,0,1,0,3,4,0,15,1,1,25,,,,
Total,1,1,0,3,7,0,23,2,1,38,No,,,
42.2799,5 - Bachelor's degree,2,Men,0,3,0,1,0,0,2,1,0,7,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,1,1,0,1,2,0,4,1,0,10,,,,
Total,1,4,0,2,2,0,6,2,0,17,No,,,
45.0201,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,0,0,0,1,
"Anthropology, General",,,,,,,,,,,,,,
Women,1,1,0,2,0,0,2,0,0,6,,,,
Total,1,2,0,2,0,0,2,0,0,7,No,,,
45.0603,5 - Bachelor's degree,1,Men,2,3,0,4,5,0,28,1,2,45,
Econometrics and Quantitative Economics,,,,,,,,,,,,,,
Women,1,2,0,4,0,0,12,1,2,22,,,,
Total,3,5,0,8,5,0,40,2,4,67,No,,,
45.0603,5 - Bachelor's degree,2,Men,0,0,0,2,0,0,3,0,1,6,
Econometrics and Quantitative Economics,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,0,0,3,0,0,3,0,1,7,No,,,
45.1001,5 - Bachelor's degree,1,Men,0,2,0,0,0,0,5,0,0,7,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,2,2,0,1,2,0,6,1,0,14,,,,
Total,2,4,0,1,2,0,11,1,0,21,No,,,
45.1001,5 - Bachelor's degree,2,Men,2,0,0,0,1,0,7,0,0,10,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,1,2,0,0,2,0,3,1,0,9,,,,
Total,3,2,0,0,3,0,10,1,0,19,No,,,
45.1101,5 - Bachelor's degree,1,Men,0,0,0,0,1,0,1,0,0,2,
"Sociology, General",,,,,,,,,,,,,,
Women,0,1,0,1,1,0,2,0,0,5,,,,
Total,0,1,0,1,2,0,3,0,0,7,No,,,
45.1101,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Sociology, General",,,,,,,,,,,,,,
Women,0,1,0,0,1,0,1,0,0,3,,,,
Total,0,1,0,0,1,0,1,0,0,3,No,,,
50.0501,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,2,0,0,0,0,0,0,0,2,,,,
Total,0,2,0,0,0,0,0,0,0,2,No,,,
50.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,3,0,0,3,,,,
Total,0,0,0,0,0,0,3,0,0,3,No,,,
50.0601,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,1,0,1,
Film/Cinema/Media Studies,,,,,,,,,,,,,,
Women,1,1,0,0,0,0,0,0,0,2,,,,
Total,1,1,0,0,0,0,0,1,0,3,No,,,
50.0601,5 - Bachelor's degree,2,Men,1,0,0,0,0,0,0,0,0,1,
Film/Cinema/Media Studies,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,1,0,0,1,0,0,0,0,0,2,No,,,
50.0701,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,1,0,0,2,
"Art/Art Studies, General",,,,,,,,,,,,,,
Women,0,1,0,2,0,0,4,1,0,8,,,,
Total,1,1,0,2,0,0,5,1,0,10,No,,,
50.0901,5 - Bachelor's degree,1,Men,1,0,0,0,1,0,1,1,0,4,
"Music, General",,,,,,,,,,,,,,
Women,0,0,0,2,0,0,1,0,0,3,,,,
Total,1,0,0,2,1,0,2,1,0,7,No,,,
50.0901,5 - Bachelor's degree,2,Men,1,1,0,0,0,0,1,2,0,5,
"Music, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,1,2,,,,
Total,1,1,0,1,0,0,1,2,1,7,No,,,
54.0101,5 - Bachelor's degree,1,Men,1,2,0,0,1,0,10,1,0,15,
"History, General",,,,,,,,,,,,,,
Women,0,2,0,3,1,0,6,0,0,12,,,,
Total,1,4,0,3,2,0,16,1,0,27,No,,,
54.0101,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,3,0,0,3,
"History, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,3,0,0,3,,,,
Total,0,0,0,0,0,0,6,0,0,6,No,,,
