"course","section","semester","size","max","time","tag","dept","dept2","dept3","dept4","description"
"Anthro & Science Fiction","01","F22",43,43,"Monday/Wednesday | 8:30 AM - 9:50 AM",201,"ANTH",NA,NA,NA,"How can anthropology help us understand the cultural assumptions, empirical knowledge, and causal and interpretive theories underlying science fiction and related genres such as fantasy, magical realism, and social science fiction? How can anthropology help writers of such genres draw on more valid and plausible assumptions, knowledge, and theories as they build fictional worlds and characters? How can fictional writers' hypotheses about what events, people, and processes might look like under different conditions, and their efforts to write about such hypotheses in innovative, engaging, and thought-provoking ways, help us think about how anthropologists might write about real-life experiences that differ from those we already understand? This course will help students think about such questions by engaging with anthropological studies and science fiction stories that relate to each other in enlightening ways. We will read and discuss stories that describe how people in a variety of societies might react to experiences that have not yet been documented in our world, as well as anthropological ethnographies of how real people in those same societies deal with analogous experiences in our world. As part of this process, we will discuss the nature and meaning of life, the universe, science, and human behavior, and consider how understandings of anthropology, science fiction, and related genres might help us predict the outcomes of current news events."
"Anthropology of Music","01","F22",9,27,"Wednesday/Friday | 12:30 PM - 1:50 PM",449,"ANTH","MUSI",NA,NA,"This seminar explores the sound and significance of the human voice in broad perspective. What do we communicate with our voice? Why are certain voices powerful or unforgettable? How are voices culturally shaped and constrained? How do people use their voice along the continuum between speech and song? What happens when the voice turns text into sound? What does it mean in terms of politics and personhood to have a voice? How does vocal sound relate to knowledge of the body and ideas about race, gender, and identity? To engage these questions, we will begin by examining the classic premise that the voice is a sonic medium for music, language, and other forms of communicative expression whose production and uptake are basic to social life and inhabiting one's environment. Throughout the term, we will push this premise in critical new directions by remembering that song and language affect us because the voice is not merely a medium. What Roland Barthes famously describes as ""the grain of the voice"" is its profound, compelling sonic presence beyond its role as a medium. Thinking about the significance of vocal sound and timbre in this light, we will explore a host of voices and vocal styles from throughout the world, including how we use our own creativel, in performance, and relative to the constraints of a voice-impacting global pandemic. We will listen and read widely, benefiting from each others' experience and insights as well as those of singers and scholars who will join us. Fulfills either the departmental seminar requirement or the comprehensive exam requirement for the major."
"Architectures of Disappearance","01","F22",9,15,"Wednesday | 2:00 PM - 5:00 PM",364,"ARCH","EUST","GERM",NA,"This course will address a number of developments and transformations in contemporary urban architecture and performance from an international perspective. We will explore issues including, but not limited to, trauma, memory, absence, perception, corporeality, representation, and the senses in our examination of recent work in Germany and elsewhere, and read a number of texts from the fields of philosophy, critical theory, performance studies, and visual and architectural studies, in an attempt to understand how architecture is beginning to develop compositional systems in which to envision dynamic and responsive spaces in specific cultural contexts. We will focus our research on the work of a number of German and international architects, performance, and new media artists, including Jochen Gerz, Renata Stih and Frieder Schnock, Horst Hoheisel, Micha Ullman, Shimon Attie, Daniel Libeskind, Peter Eisenman, Rem Koolhaas, Greg Lynn, Mark Goulthorpe, Mariam Kamara, R & Sie, Axel Kilian, Paul Privitera, Di'eb'edo Francis K'er'e, Hani Rashid and Lise-Anne Couture, Ini Archibong, Herzog and de Meuron, Archigram, David Adjaye, William Forsythe, Jan Fabre, Rachel Whiteread, Rebecca Horn, Mario Gooden, Sasha Waltz, Richard Siegal, Michael Schumacher, Mwanzaa Brown, Robert Wilson, the Blix Brothers of Berlin, Maya Lin, Diller Scofidio + Renfro, Pina Bausch, Granular Synthesis, Sponge, Rafael Lozano-Hemmer, Miku Dixit, Toni Dove, Chris Parkinson and Tessa Kelly, and many others. Students will develop projects in various media and deliver a number of critical oral and written presentations on various aspects of the course material and their own projects. Emphasis on developing research, writing, and presentation skills is a core of this seminar. Conducted in English, with German majors required to do a substantial portion of the reading in German."
"Arendt's Judgements","01","F22",27,30,"Monday/Wednesday | 8:30 AM - 9:50 AM",253,"LJST",NA,NA,NA,"Fearlessly independent, tenaciously unclassifiable, frequently controversial, and always thought-provoking, Hannah Arendt is without question one of the greatest thinkers of the twentieth century. Setting aside the conventional interpretation of Arendt as a political theorist, this course will focus on Arendt's contributions to the study of law, with special attention to Arendt's unusual inquiries into human rights, international criminal law, constitutional law, and civil disobedience. By carefully reading select writings by Arendt alongside key events in twentieth century history, we shall trace in Arendt's texts a relation between thought, crisis, and judgment that is often occluded by the dominant reception of her thought. Along the way, we shall ask how Arendt arrived at her various judgments, what it means for thought to relate to law and to the world, and why judgment might offer a way to respond to, and live through, the crises of one's present."
"Artificial Intelligence","01","F22",18,50,"Tuesday/Thursday | 2:30 PM - 3:50 PM",241,"COSC",NA,NA,NA,"An introduction to the ideas and techniques that allow computers to perform intelligently. The course will discuss methods of adversarial game playing and of solving general problems using heuristic search. It will also discuss the design of agents that learn either from experience or from a provided dataset. The course will cover both theoretical aspects of AI and practical considerations such as noisy sensor readings. Three class meetings per week. Offered in alternate years."
"Arts of Japan","01","F22",26,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",148,"ARHA","ASLC",NA,NA,"A survey of the history of Japanese art from neolithic times to the present. Topics will include Buddhist art and its ritual context, the aristocratic arts of the Heian court, monochromatic ink painting and the arts related to the Zen sect, the prints and paintings of the Floating World and contemporary artists and designers such as Ando Tadao and Miyake Issey. The class will focus on the ways Japan adopts and adapts foreign cultural traditions. There will be field trips to look at works in museums and private collections in the region"
"Arts/Orature in Africa","01","F22",5,10,"Monday/Wednesday | 12:30 PM - 1:50 PM",313,"ARHA","BLST",NA,NA,"In the traditionally non-literate societies of Africa, verbal and visual arts constitute two systems of communication. The performance of verbal art and the display of visual art are governed by social and cultural rules. We will examine the epistemological process of understanding cultural symbols, of visualizing narratives, or proverbs, and of verbalizing sculptures or designs. Focusing on the Yoruba people of West Africa, the course will attempt to interpret the language of their verbal and visual arts and their interrelations in terms of cultural cosmologies, artistic performances, and historical changes in perception and meaning. We will explore new perspectives in the critical analysis of African verbal and visual arts, and their interdependence as they support each other through mutual references and allusions. In addition to visiting the Mead Art Museum to see African works, students will be required to listen to audio-recordings and engage selected visual images to enhance their understanding of the interrelationship of arts in Africa."
"Asian American History","01","F22",14,40,"Wednesday/Friday | 2:00 PM - 3:20 PM",158,"HIST","SWAG",NA,NA,"This course introduces students to the history of Asian/American migration and settlement in the United States from the late eighteenth century to the present. We will learn about foundational and current themes in the field of Asian American history. Using an intersectional approach, the course traces how issues related to gender and sexuality impact Asian American racial formation in the U.S. For example, we look at how particular immigration pathways impact the lives of Asian immigrant communities differently depending on individuals' gender and sexual identities. We also explore the ways the fetishization of Asian American women and men has influenced shifts in American foreign and domestic policy. Major themes include labor migration, community formation, U.S. imperialism, legal exclusion, racial segregation, cultural representations, and social movements. Students will also examine digital oral history archives throughout the U.S., and work collectively on an oral history project on the history of Asian American student activism at Amherst College and beyond. Two meetings per week."
"Astrophysics I","01","F22",15,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",228,"ASTR",NA,NA,NA,"This course provides a quantitative introduction to the physical principles that govern the universe. The laws of gravity, thermal physics, atomic physics, and radiation will be applied to develop understanding of a variety of astrophysical phenomena. These include: the formation of stars and planets, the life cycle of stars, and the nature of the interstellar medium. This course is intended for students majoring in astronomy and serves as a gateway to the more complex topics covered in upper-division astronomy classes. However, non-majors who are interested in a robust treatment of introductory astrophysics are welcome to participate in the course, and we will review the relevant physics and mathematics as we apply them to astrophysical problems"
"Beyond Indiana Jones","01","F22",6,25,"Monday/Wednesday | 12:30 PM - 1:50 PM",332,"HIST",NA,NA,NA,"This course investigates the history, politics, and culture of international archaeological research and expeditions from the mid-eighteenth century through the mid-twentieth century. Rather than discussing the achievements and material remnants of ancient and classical civilizations, it seeks to situate the discovery, study, preservation, and possession of antiquities within the wider global contexts of warfare, nationalism, imperialism, decolonization, social politics of inclusion and exclusion, and popular culture. The course will provide a historical basis for understanding relations between the Global North and the Global South, the debates around contemporary calls for the repatriation of plundered artifacts, the origins of the idea of world heritage, and the common misconceptions about who qualifies as a producer of scientific knowledge."
"Bildungsroman","01","F22",10,14,"Tuesday/Thursday | 8:30 AM - 9:50 AM",316,"ENGL","SWAG",NA,NA,"""From whence comes my help?"" ""From where does your strength come?"" The psalmist and Adrienne Rich ask these questions, which we will face while we read coming-of-age narratives that fit in a genre known by its German name, the Bildungsroman. These novels go beyond the pilgrimage out of adolescence, and into explicit representation of intellectual, aesthetic, and spiritual growth experienced in unison with sexual development, awakenings, thrills, mishaps, and marriage. We will pay attention to how we immerse ourselves into the condition of those who grow on the page; not to ""identify"" with the characters, but to accompany them. From our immersive accompaniment we will re-emerge-intentionally-to write about how we progress, digress, regress, and grow some more. As we read we will explore many terms and theoretical concerns: Erik Erickson on life stages; Donald Winnicott on holding environment and object relation; Jacques Lacan on mirrors and interminability of desire; Silvan Tomkins on affects and nuclear scripts; Shoshana Feldman on re-reading, un-learning, en-gendering, and-again-desire.Readings will likely include: Plato, Phaedrus; Susan Choi, Trust Exercise; Lazarillo de Tormes; Teresa de Avila, Interior Castle; John Woolman, The Journal; Roland Barthes, A Lover's Discourse; Jeffrey Eugenides, The Marriage Plot; Ocean Vuong, On Earth We're Briefly Gorgeous; Charlotte Bront""e, Jane Eyre; James Joyce, Portrait of the Artist as a Young Man; Doris Lessing, The Golden Notebook; Richard Powers, The Overstory."
"Biochemistry","01","F22",45,48,"Monday/Friday | 12:30 PM - 1:50 PM",331,"BCBP","BIOL","CHEM",NA,"Structure and function of biologically important molecules and their role in life processes. Protein conformation, enzymatic mechanisms and selected metabolic pathways will be analyzed. Additional topics may include: nucleic acid conformation, DNA/protein interactions, signal transduction and transport phenomena. Four classroom hours and four hours of laboratory work per week. Offered jointly by the Departments of Biology and Chemistry."
"BIPOC Shakespeares","01","F22",7,18,"Thursday | 2:30 PM - 5:30 PM",420,"ENGL","THDA",NA,NA,"Interpretations of William Shakespeare's plays often align with and reinforce hegemonic conceptions of whiteness. Yet for over two centuries that alignment has been contested by theatre artists from the Black diaspora, from Native or Indigenous nations, and from the diverse communities of latinidad. This course centers what one First Nations playwright calls BIPOC ""takeovers"" of Shakespeare's work. We will ask how these creative adaptations and translations engage histories of racial, cultural, and linguistic violence and loss, and how they weave new stories and experiences of resistance and healing. Topics to be explored include the utility of colonial texts for decolonial futures; the relation of land, language, and literature; the transformation of Euro-American theatre through non-Western artistic practice and ceremony; and the recent development of anti-racist initiatives that challenge and reinvent the study, staging, and teaching of Shakespeare's plays. Scholars and creatives leading these past and future projects will join us in conversation, which will guide independent research and shape each student's culminating work."
"Black (on) Earth","01","F22",16,18,"Monday/Wednesday | 8:30 AM - 9:50 AM",162,"BLST","ENGL",NA,NA,"African and African-descended people have a long-documented and intimate relationship to the natural world as a source of healing, nurture, and wealth. However, for a people who were stripped of their land in colonial Africa, exploited to work the land by European enslavers in the New World, and hung from trees in the American South, and who still have a precarious relationship to water in such places as Flint, Michigan, and post-Maria Puerto Rico, inhabiting the earth is complicated. How might we begin to tell this entangled history? What kinds of stories have Africans and their descendants developed to address their relationship with nature? What does the term ""environmental justice"" even mean to and for people of African descent today?In this course, we will encounter a range of texts, including slave narratives, novels, poems, visual art, and performance written by and about Black subjects, to begin to understand how various authors, artists, and activists represent the rich relationship between blackness and the natural world. Readings may include works by Olaudah Equiano, W. E. B Du Bois, Ken Saro-Wiwa, Zora Neale Hurston, Derek Walcott, Jamaica Kincaid, Yvonne Adhiambo Owuor, T. Dungy, Britt Rusert, Kimberly N. Ruffin, among others."
"Black Genius","01","F22",8,0,"Monday/Wednesday | 3:00 PM - 4:20 PM",163,"ENGL",NA,NA,NA,"This seminar introduces students to the study of African American arts and expressive culture. Deploying a broad, interdisciplinary approach, we survey influential works of twentieth and twenty-first century African American fiction, music, drama, painting, and photography in order to understand the tendencies and trends associated with what scholars sometimes refer to as ""the black aesthetic."" We will pay particular attention to ""masterpiece"" works-i.e. extraordinary works of art that have been widely acknowledged as watershed, influential, and enduring. What makes a (black) work of art a ""masterpiece""? How have African Americans historically turned to the arts and expressive culture as sites of sociopolitical critique? What role have artists played in building and sustaining what the poet Fred Moten refers to as ""the black radical tradition"" (i.e. a tradition of black resistance, rebellion, and creative worldmaking). Some of the masterpieces which we will explore will include Toni Morrison's Beloved, August Wilson's The Piano Lesson, Romare Bearden's The Block, Alvin Ailey's Revelations, Suzan Lori Parks's Top Dog/Underdog, James Vanderzee's The Harlem Book of the Dead, Ellis Wilson's Funeral Procession, Anna Deveare Smith's Fires in the Mirror, James Baldwin's The Fire Next Time, and Nina Simone's Greatest Hits."
"Black Radical Tradition","01","F22",25,25,"Tuesday/Thursday | 10:00 AM - 11:20 AM",271,"BLST",NA,NA,NA,"In this course, we explore the history and philosophy of Black resistance to domination and oppression in the new world. We begin with the Haitian Revolution and then proceed to the grand and petty revolts of the nineteenth century. We investigate the everyday abolitionism that informs what Cedric Robinson called ""the truer genius"" of Black struggle. We examine thinkers who we might understand to comprise the Black Radical Tradition and also the range of philosophical and political themes the tradition as a whole elucidates. Our overall objective is to think critically about the Black Radical Tradition as an under-examined project involving its own codes, histories, beliefs, values, virtues, and well as vices."
"Black Sexualities","01","F22",16,25,"Tuesday/Thursday | 2:30 PM - 3:50 PM",235,"BLST","SWAG",NA,NA,"From the modern era to the contemporary moment, the intersection of race, gender, and class has been especially salient for people of African descent-for men as well as for women. How might the category of sexuality act as an additional optic through which to view and reframe contemporary and historical debates concerning the construction of black identity? In what ways have traditional understandings of masculinity and femininity contributed to an understanding of African American life and culture as invariably heterosexual? How have black lesbian, gay, and transgendered persons effected political change through their theoretical articulations of identity, difference, and power? In this interdisciplinary course, we will address these questions through an examination of the complex roles gender and sexuality play in the lives of people of African descent. Remaining attentive to the ways black people have claimed social and sexual agency in spite of systemic modes of inequality, we will engage with critical race theory, black feminist thought, queer-of-color critique, literature, art, film, ""new media"" and erotica, as well as scholarship from anthropology, sociology, and history."
"Borders, Migration, Gender","01","F22",12,0,"Tuesday/Thursday | 10:00 AM - 11:20 AM",322,"GERM",NA,NA,NA,"What happens when a wall crumbles and borders disappear? Since 1989, this question has been at the center of contemporary German cultural and political life. When the Wall dividing East from West Germany fell, Germans sought to reconstitute themselves as one ""reunified"" nation. However, this unity has proven fragmentary, fragile, and contentious, most recently at the height of the Refugee Crisis in 2015 which triggered intense debates around German identity. Our class will investigate three fault lines that, since the disappearance of the Wall and its Cold War binary, have cut through Germany's tenuous sense of unity in the intervening decades: first, the continued East/West divide, particularly attempts to come to terms with the legacy of East German authoritarianism in the present. Second, we will explore the role of race, migration, and refugees in shaping what has come to be called ""Multikulti"" Germany, in opposition to a closed-off ""Fortress Europe."" Third, and inflecting both of these dividing lines, we will consider the gendered dimension of debates around notions of belonging, including the continued force of oppositions such as man/woman and gay/straight that are seen to bisect German social life. We will focus in these explorations primarily on short pieces of post-1989 literature, but the course will also draw on materials from history, film, and pop culture. Authors may include Olivia Wenzel, Sasha Marianna Salzmann, Jenny Erpenbeck, Rainald Goetz, Antje R'avik Strubel, Emine Sevgi ""Ozdamar, and Elfriede Jelinek. Additionally, students will acquire crucial conceptual tools from the tradition of critical theory and political philosophy, which deepen our understanding of contemporary and historical phenomena such as belonging, exclusion, walls, and ""internal borders."" Small-group work and frequent writing exercises will allow students to develop their oral and written fluency in German. Conducted in German."
"British Romantic Poetry","01","F22",10,18,"Tuesday/Thursday | 2:30 PM - 3:50 PM",445,"ENGL",NA,NA,NA,"Can reading poetry change our understanding of our environment? How might the way we perceive nature be conditioned by the ways in which writers have imagined it? In turn, how might the way we perceive our own imaginations be conditioned by ideas about the natural world? Although ""nature"" might seem like a universal and unchanging concept, British Romantic writers did much to invent our modern ideas about it. Notions of perception, cognition, and the imagination changed alongside our ideas about nature. We will debate what impact this history has had on current environmental discourse, contemporary ethics, and the Green movement. Some critics have argued, for instance, that the Romantics' reverence for nature is more destructive than it might at first seem. Might it be more environmentally responsible to get rid of the Romantic concept of ""nature"" altogether? This course gives students a thorough grounding in Romantic Poetry, the philosophy of aesthetics, and literary theory, while also giving them a chance to follow their own research interests in a final project."
"Buen vivir","01","F22",9,20,"Thursday | 2:30 PM - 5:15 PM",419,"SPAN",NA,NA,NA,"The last two decades have seen the popularization of the Kichwa concepts of sumak kawsay (vida arm'onica, life in harmony) and alli kawsay (buen vivir, good living) thanks to the former's adoption as part of the constitution of Ecuador in 2008.  Bolivia soon followed suit when it incorporated the analogous concepts of ~nandereko (Guaran'i for harmonious life) and suma qama~na (Aymara for buen convivir, good coliving) to its new constitution in 2009. This course will examine the various meanings and theorizations of these concepts in Andean and Amazonian philosophies, how they have been instrumentalized by the States of Ecuador and Bolivia, and how they are being reclaimed by communities who assert that the State is not honoring their constitutional right to life in harmony, nor its requisite practices of good living.  With this historical and theoretical framework in mind, we will then explore how these concepts and practices help to make sense of a number of artistic texts (films, narratives, poems, songs, murals) by and for Indigenous and non-Indigenous communities throughout Latin America.  For their final projects, students will have the option to write about one or more of these artistic texts, or produce an original artistic text aligned with the values of sumac kawsay/~nandereko and alli kawsay/suma qama~na.  The course will be taught in Spanish."
"Building a Better World","01","F22",37,35,"Tuesday/Thursday | 8:30 AM - 9:50 AM",117,"ANTH",NA,NA,NA,"How can anthropological perspectives help us understand the intended and unintended consequences of our efforts to build a better world? This course will address this question by looking at anthropological studies of the implementation and consequences of large-scale, deeply transformative policies and practices intended to improve people's lives, solve current problems, and prevent future catastrophes. We will focus especially on comparisons between China and the United States, which have two of the world's largest and most influential economies and face many similar problems, but have developed very different approaches to trying to build a better world. We will evaluate current proposals for transformative new policies and practices, and consider how efforts to build a better world might benefit from anthropologists' ability to look holistically at relationships between personal experiences, psychology, cultural norms, social structures, philosophy, laws, history, politics, economics, biology, technology, environmental issues, global systems, and international relations. Students will learn to draw on anthropological perspectives as they develop and write about their own ideas for building a better world and about consequences those ideas might have."
