CIPCODE,Award,Major,Gender,Non Resident Alien,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,distance education program
"Classics and Classical Languages, Literatures, and Linguistics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.1202,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Ancient/Classical Greek Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.1202,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Ancient/Classical Greek Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.1203,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Latin Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.1203,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Latin Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
22.0203,5 - Bachelor's degree,1,Men,0,1,0,0,1,0,3,1,0,6,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,0,2,0,0,1,0,1,0,1,5,,,,
Total,0,3,0,0,2,0,4,1,1,11,No,,,
22.0203,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,0,0,1,,,,
Total,0,1,0,0,0,0,0,0,0,1,No,,,
23.0101,5 - Bachelor's degree,1,Men,3,1,0,1,2,0,5,1,0,13,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,0,3,3,4,5,0,13,1,0,29,,,,
Total,3,4,3,5,7,0,18,2,0,42,No,,,
23.0101,5 - Bachelor's degree,2,Men,0,0,1,1,0,0,0,0,0,2,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,0,2,0,1,3,0,2,0,0,8,,,,
Total,0,2,1,2,3,0,2,0,0,10,No,,,
26.0101,5 - Bachelor's degree,1,Men,0,0,0,3,2,0,3,0,0,8,
"Biology/Biological Sciences, General",,,,,,,,,,,,,,
Women,4,0,0,3,0,0,9,0,1,17,,,,
Total,4,0,0,6,2,0,12,0,1,25,No,,,
26.0101,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Biology/Biological Sciences, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
26.0299,5 - Bachelor's degree,1,Men,2,0,0,0,0,0,2,0,0,4,
"Biochemistry, Biophysics and Molecular Biology, Other",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,2,0,0,0,0,0,3,0,0,5,No,,,
26.0299,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Biochemistry, Biophysics and Molecular Biology, Other",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,0,0,1,0,0,0,0,0,1,No,,,
26.1501,5 - Bachelor's degree,1,Men,2,4,0,1,1,0,3,0,0,11,
Neuroscience,,,,,,,,,,,,,,
Women,0,1,0,1,3,0,4,0,1,10,,,,
Total,2,5,0,2,4,0,7,0,1,21,No,,,
26.1501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Neuroscience,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,2,0,0,3,No,,,
27.0101,5 - Bachelor's degree,1,Men,3,0,0,4,0,0,10,0,1,18,
"Mathematics, General",,,,,,,,,,,,,,
Women,2,6,0,2,3,0,13,0,0,26,,,,
Total,5,6,0,6,3,0,23,0,1,44,No,,,
27.0101,5 - Bachelor's degree,2,Men,5,0,0,6,0,0,8,0,1,20,
"Mathematics, General",,,,,,,,,,,,,,
Women,2,1,0,3,1,0,1,1,1,10,,,,
Total,7,1,0,9,1,0,9,1,2,30,No,,,
27.0501,5 - Bachelor's degree,1,Men,0,0,0,1,1,0,2,1,0,5,
"Statistics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,2,0,0,2,,,,
Total,0,0,0,1,1,0,4,1,0,7,No,,,
27.0501,5 - Bachelor's degree,2,Men,1,0,0,3,0,0,2,0,0,6,
"Statistics, General",,,,,,,,,,,,,,
Women,3,0,0,0,0,0,3,0,0,6,,,,
Total,4,0,0,3,0,0,5,0,0,12,No,,,
30.9999,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Multi-/Interdisciplinary Studies, Other",,,,,,,,,,,,,,
Women,0,0,0,2,0,0,1,0,0,3,,,,
Total,0,0,0,2,0,0,1,0,0,3,No,,,
30.9999,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Multi-/Interdisciplinary Studies, Other",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,1,0,0,2,No,,,
38.0101,5 - Bachelor's degree,1,Men,0,1,0,1,2,0,5,0,1,10,
Philosophy,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,1,0,2,2,0,5,0,1,11,No,,,
38.0101,5 - Bachelor's degree,2,Men,2,2,0,0,2,0,2,0,0,8,
Philosophy,,,,,,,,,,,,,,
Women,0,0,0,1,1,0,0,0,0,2,,,,
Total,2,2,0,1,3,0,2,0,0,10,No,,,
38.0201,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
38.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
40.0201,5 - Bachelor's degree,1,Men,0,0,0,1,0,0,1,0,0,2,
Astronomy,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,2,0,0,2,,,,
Total,0,0,0,1,0,0,3,0,0,4,No,,,
40.0201,5 - Bachelor's degree,2,Men,0,0,0,1,0,0,0,0,0,1,
Astronomy,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,1,0,0,0,0,0,1,No,,,
40.0501,5 - Bachelor's degree,1,Men,0,0,0,2,0,0,3,0,0,5,
"Chemistry, General",,,,,,,,,,,,,,
Women,2,1,0,3,0,0,2,0,0,8,,,,
Total,2,1,0,5,0,0,5,0,0,13,No,,,
40.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Chemistry, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
40.0601,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,3,0,0,3,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,4,0,0,4,,,,
Total,0,0,0,0,0,0,7,0,0,7,No,,,
40.0601,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
40.0801,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,2,0,0,2,
"Physics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,2,0,0,2,No,,,
40.0801,5 - Bachelor's degree,2,Men,0,0,0,2,0,0,2,0,0,4,
"Physics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,1,1,,,,
Total,0,0,0,2,0,0,2,0,1,5,No,,,
42.2799,5 - Bachelor's degree,1,Men,0,1,0,1,2,0,3,1,0,8,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,0,2,1,2,1,0,5,1,1,13,,,,
Total,0,3,1,3,3,0,8,2,1,21,No,,,
42.2799,5 - Bachelor's degree,2,Men,0,0,0,1,0,0,8,0,0,9,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,0,0,0,1,2,0,10,0,1,14,,,,
Total,0,0,0,2,2,0,18,0,1,23,No,,,
45.0101,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Social Sciences, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
45.0101,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Social Sciences, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
45.0201,5 - Bachelor's degree,1,Men,1,0,0,1,0,0,0,0,0,2,
Anthropology,,,,,,,,,,,,,,
Women,1,1,0,0,1,0,1,0,0,4,,,,
Total,2,1,0,1,1,0,1,0,0,6,No,,,
45.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Anthropology,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
45.0601,5 - Bachelor's degree,1,Men,3,4,0,3,3,0,26,1,0,40,
"Economics, General",,,,,,,,,,,,,,
Women,3,3,0,3,1,0,5,1,2,18,,,,
Total,6,7,0,6,4,0,31,2,2,58,No,,,
45.0601,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,3,1,0,4,
"Economics, General",,,,,,,,,,,,,,
Women,1,1,0,0,0,0,0,0,0,2,,,,
Total,1,1,0,0,0,0,3,1,0,6,No,,,
45.1001,5 - Bachelor's degree,1,Men,0,2,0,0,5,0,6,1,2,16,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,2,3,0,0,0,0,4,0,0,9,,,,
Total,2,5,0,0,5,0,10,1,2,25,No,,,
45.1001,5 - Bachelor's degree,2,Men,0,1,0,2,1,0,3,0,0,7,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,0,1,0,1,3,0,1,0,0,6,,,,
Total,0,2,0,3,4,0,4,0,0,13,No,,,
45.1101,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
Sociology,,,,,,,,,,,,,,
Women,1,2,0,2,0,0,2,0,0,7,,,,
Total,1,2,0,2,0,0,3,0,0,8,No,,,
45.1101,5 - Bachelor's degree,2,Men,1,0,0,0,0,0,0,0,0,1,
Sociology,,,,,,,,,,,,,,
Women,0,2,0,0,2,0,0,1,0,5,,,,
Total,1,2,0,0,2,0,0,1,0,6,No,,,
50.0501,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,1,0,1,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,1,0,1,No,,,
50.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,1,1,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,0,0,0,1,0,0,0,0,1,,,,
Total,0,0,0,0,1,0,0,0,1,2,No,,,
50.0601,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Film/Cinema/Video Studies,,,,,,,,,,,,,,
Women,0,0,0,0,2,0,1,0,0,3,,,,
Total,0,0,0,0,2,0,1,0,0,3,No,,,
50.0601,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Film/Cinema/Video Studies,,,,,,,,,,,,,,
Women,1,0,0,0,0,0,1,0,0,2,,,,
Total,1,0,0,0,0,0,2,0,0,3,No,,,
50.0701,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,2,0,0,2,
"Art/Art Studies, General",,,,,,,,,,,,,,
Women,2,4,0,3,0,0,2,0,1,12,,,,
Total,2,4,0,3,0,0,4,0,1,14,No,,,
50.0701,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Art/Art Studies, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
50.0901,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,4,0,0,5,
"Music, General",,,,,,,,,,,,,,
Women,0,0,0,0,1,0,1,1,0,3,,,,
Total,0,1,0,0,1,0,5,1,0,8,No,,,
50.0901,5 - Bachelor's degree,2,Men,1,1,0,0,0,0,1,0,0,3,
"Music, General",,,,,,,,,,,,,,
Women,0,3,0,2,0,0,1,0,0,6,,,,
Total,1,4,0,2,0,0,2,0,0,9,No,,,
54.0101,5 - Bachelor's degree,1,Men,1,3,0,3,1,0,12,0,1,21,
"History, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,4,2,0,6,,,,
Total,1,3,0,3,1,0,16,2,1,27,No,,,
54.0101,5 - Bachelor's degree,2,Men,1,1,0,1,0,0,4,0,0,7,
"History, General",,,,,,,,,,,,,,
Women,0,0,1,0,0,0,2,0,0,3,,,,
Total,1,1,1,1,0,0,6,0,0,10,No,,,
