CIPCODE,Award,Major,Gender,Non Resident Alien,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,
Total,1,1,0,0,7,0,0,1,1,11,No,,,
5.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
African-American/Black Studies,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,0,0,0,1,,,,
Total,0,0,0,0,1,0,0,0,0,1,No,,,
5.0203,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",,,,,,,,,,,,,,
Women,1,2,0,0,0,0,0,0,0,3,,,,
Total,1,2,0,0,0,0,0,0,0,3,No,,,
5.0203,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,0,0,1,,,,
Total,0,1,0,0,0,0,0,0,0,1,No,,,
5.0207,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Women's Studies,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,0,0,0,1,,,,
Total,0,0,0,0,1,0,0,0,0,1,No,,,
5.0207,5 - Bachelor's degree,2,Men,1,0,0,0,0,0,0,0,0,1,
Women's Studies,,,,,,,,,,,,,,
Women,0,0,0,0,2,0,2,0,0,4,,,,
Total,1,0,0,0,2,0,2,0,0,5,No,,,
11.0701,5 - Bachelor's degree,1,Men,5,2,0,7,3,0,17,1,0,35,
Computer Science,,,,,,,,,,,,,,
Women,3,1,0,3,0,0,5,0,0,12,,,,
Total,8,3,0,10,3,0,22,1,0,47,No,,,
11.0701,5 - Bachelor's degree,2,Men,0,0,0,1,0,0,3,0,0,4,
Computer Science,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,0,0,2,0,0,3,0,0,5,No,,,
16.0402,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Russian Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.0402,5 - Bachelor's degree,2,Men,1,0,0,0,0,0,2,0,0,3,
Russian Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,1,0,0,0,0,0,2,0,0,3,No,,,
16.0501,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,1,0,2,
German Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,1,1,0,2,No,,,
16.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
German Language and Literature,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,0,0,1,,,,
Total,0,1,0,0,0,0,1,0,0,2,No,,,
16.0901,5 - Bachelor's degree,1,Men,0,0,0,0,1,0,3,0,0,4,
French Language and Literature,,,,,,,,,,,,,,
Women,1,0,0,1,3,0,6,2,0,13,,,,
Total,1,0,0,1,4,0,9,2,0,17,No,,,
16.0901,5 - Bachelor's degree,2,Men,0,2,0,0,0,0,2,0,0,4,
French Language and Literature,,,,,,,,,,,,,,
Women,1,0,0,0,0,0,3,1,0,5,,,,
Total,1,2,0,0,0,0,5,1,0,9,No,,,
16.0905,5 - Bachelor's degree,1,Men,0,1,0,0,1,0,0,0,0,2,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,1,0,0,1,0,0,0,0,2,No,,,
16.0905,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,2,0,1,1,0,4,1,0,9,,,,
Total,0,2,0,1,1,0,4,1,0,9,No,,,
16.12,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,1,0,0,2,
"Classics and Classical Languages, Literatures, and Linguistics, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,1,2,,,,
Total,1,0,0,1,0,0,1,0,1,4,No,,,
16.12,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Classics and Classical Languages, Literatures, and Linguistics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
22.0203,5 - Bachelor's degree,1,Men,0,0,0,2,0,0,3,0,0,5,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,0,0,0,2,1,0,0,0,0,3,,,,
Total,0,0,0,4,1,0,3,0,0,8,No,,,
22.0203,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,1,2,0,4,,,,
Total,0,1,0,0,0,0,2,2,0,5,No,,,
23.0101,5 - Bachelor's degree,1,Men,1,3,0,1,2,0,8,2,1,18,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,1,3,0,1,1,0,6,0,0,12,,,,
Total,2,6,0,2,3,0,14,2,1,30,No,,,
23.0101,5 - Bachelor's degree,2,Men,1,1,0,0,0,0,1,0,0,3,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,2,1,0,1,1,0,3,0,0,8,,,,
Total,3,2,0,1,1,0,4,0,0,11,No,,,
26.0101,5 - Bachelor's degree,1,Men,0,3,0,1,0,0,2,2,0,8,
"Biology/Biological Sciences, General",,,,,,,,,,,,,,
Women,0,1,0,4,1,0,10,1,0,17,,,,
Total,0,4,0,5,1,0,12,3,0,25,No,,,
26.0101,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Biology/Biological Sciences, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
26.0299,5 - Bachelor's degree,1,Men,0,0,0,4,1,0,1,0,0,6,
"Biochemistry, Biophysics and Molecular Biology, Other",,,,,,,,,,,,,,
Women,1,1,0,2,2,0,5,2,0,13,,,,
Total,1,1,0,6,3,0,6,2,0,19,No,,,
26.0299,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Biochemistry, Biophysics and Molecular Biology, Other",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
26.1501,5 - Bachelor's degree,1,Men,2,1,0,3,0,0,1,0,0,7,
Neuroscience,,,,,,,,,,,,,,
Women,2,2,0,3,0,0,4,3,1,15,,,,
Total,4,3,0,6,0,0,5,3,1,22,No,,,
26.1501,5 - Bachelor's degree,2,Men,0,1,0,1,0,0,1,0,0,3,
Neuroscience,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,1,0,1,0,0,2,0,0,4,No,,,
27.0101,5 - Bachelor's degree,1,Men,3,2,0,1,0,0,6,0,1,13,
"Mathematics, General",,,,,,,,,,,,,,
Women,1,6,0,0,3,0,7,0,3,20,,,,
Total,4,8,0,1,3,0,13,0,4,33,No,,,
27.0101,5 - Bachelor's degree,2,Men,5,0,0,4,1,0,12,0,0,22,
"Mathematics, General",,,,,,,,,,,,,,
Women,4,0,0,3,1,0,9,1,1,19,,,,
Total,9,0,0,7,2,0,21,1,1,41,No,,,
27.0501,5 - Bachelor's degree,1,Men,0,1,0,0,1,0,1,0,0,3,
"Statistics, General",,,,,,,,,,,,,,
Women,0,0,0,2,0,0,3,0,0,5,,,,
Total,0,1,0,2,1,0,4,0,0,8,No,,,
27.0501,5 - Bachelor's degree,2,Men,1,0,0,3,0,0,3,0,0,7,
"Statistics, General",,,,,,,,,,,,,,
Women,1,1,0,0,0,0,3,0,0,5,,,,
Total,2,1,0,3,0,0,6,0,0,12,No,,,
30.9999,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
"Multi-/Interdisciplinary Studies, Other",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,2,0,0,3,No,,,
30.9999,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Multi-/Interdisciplinary Studies, Other",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
38.0101,5 - Bachelor's degree,1,Men,0,0,0,1,0,0,1,0,0,2,
Philosophy,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,1,0,0,2,0,0,3,No,,,
38.0101,5 - Bachelor's degree,2,Men,1,1,0,2,0,0,5,0,0,9,
Philosophy,,,,,,,,,,,,,,
Women,0,1,0,1,0,0,0,0,0,2,,,,
Total,1,2,0,3,0,0,5,0,0,11,No,,,
38.0201,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,0,0,0,1,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,1,0,0,0,0,0,0,0,1,No,,,
38.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,3,0,0,3,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,2,0,0,0,0,0,0,0,2,,,,
Total,0,2,0,0,0,0,3,0,0,5,No,,,
40.0201,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,2,0,0,3,
Astronomy,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,1,0,0,0,0,3,0,0,4,No,,,
40.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Astronomy,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
40.0501,5 - Bachelor's degree,1,Men,0,0,0,1,0,0,0,0,0,1,
"Chemistry, General",,,,,,,,,,,,,,
Women,0,1,0,3,0,0,3,0,0,7,,,,
Total,0,1,0,4,0,0,3,0,0,8,No,,,
40.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Chemistry, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,1,0,0,2,No,,,
40.0601,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,0,0,0,1,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,1,0,0,0,0,1,0,0,2,No,,,
40.0601,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,1,0,2,,,,
Total,0,0,0,0,0,0,1,1,0,2,No,,,
40.0801,5 - Bachelor's degree,1,Men,0,0,0,1,1,0,0,0,1,3,
"Physics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,1,1,0,1,0,1,4,No,,,
40.0801,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,1,1,3,
"Physics, General",,,,,,,,,,,,,,
Women,0,1,0,0,0,0,1,0,0,2,,,,
Total,0,1,0,0,0,0,2,1,1,5,No,,,
42.2799,5 - Bachelor's degree,1,Men,0,1,0,1,1,0,6,2,0,11,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,0,3,0,0,3,0,10,2,0,18,,,,
Total,0,4,0,1,4,0,16,4,0,29,No,,,
42.2799,5 - Bachelor's degree,2,Men,2,0,0,0,0,0,4,0,0,6,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,1,3,0,3,2,0,8,1,1,19,,,,
Total,3,3,0,3,2,0,12,1,1,25,No,,,
45.0101,5 - Bachelor's degree,1,Men,0,0,0,0,1,0,0,0,0,1,
"Social Sciences, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,1,0,0,0,0,1,No,,,
45.0201,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
Anthropology,,,,,,,,,,,,,,
Women,2,0,0,3,0,0,5,0,1,11,,,,
Total,2,0,0,3,0,0,6,0,1,12,No,,,
45.0603,5 - Bachelor's degree,1,Men,7,3,0,3,4,0,29,0,0,46,
Econometrics and Quantitative Economics,,,,,,,,,,,,,,
Women,3,1,1,6,0,0,9,2,0,22,,,,
Total,10,4,1,9,4,0,38,2,0,68,No,,,
45.0603,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Econometrics and Quantitative Economics,,,,,,,,,,,,,,
Women,1,0,0,2,0,0,0,0,1,4,,,,
Total,1,0,0,2,0,0,1,0,1,5,No,,,
45.1001,5 - Bachelor's degree,1,Men,2,0,0,1,1,0,5,1,1,11,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,2,0,0,0,3,0,2,1,0,8,,,,
Total,4,0,0,1,4,0,7,2,1,19,No,,,
45.1001,5 - Bachelor's degree,2,Men,3,0,0,0,3,0,2,0,0,8,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,1,1,0,1,1,0,3,0,0,7,,,,
Total,4,1,0,1,4,0,5,0,0,15,No,,,
45.1101,5 - Bachelor's degree,1,Men,0,0,0,1,0,0,1,0,0,2,
Sociology,,,,,,,,,,,,,,
Women,0,1,0,0,1,0,2,0,0,4,,,,
Total,0,1,0,1,1,0,3,0,0,6,No,,,
45.1101,5 - Bachelor's degree,2,Men,0,1,0,1,1,0,0,0,0,3,
Sociology,,,,,,,,,,,,,,
Women,2,3,1,0,0,0,3,0,0,9,,,,
Total,2,4,1,1,1,0,3,0,0,12,No,,,
50.0501,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,0,0,0,1,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,1,0,0,0,0,0,1,0,0,2,No,,,
50.0501,5 - Bachelor's degree,2,Men,0,2,0,0,1,0,0,0,0,3,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,2,0,0,1,0,0,0,0,3,No,,,
50.0601,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Film/Cinema/Video Studies,,,,,,,,,,,,,,
Women,0,2,0,1,0,0,0,0,0,3,,,,
Total,0,2,0,1,0,0,0,0,0,3,No,,,
50.0601,5 - Bachelor's degree,2,Men,0,0,0,0,1,0,1,0,0,2,
Film/Cinema/Video Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,1,0,2,0,0,3,No,,,
50.0701,5 - Bachelor's degree,1,Men,0,0,0,0,2,0,1,0,0,3,
"Art/Art Studies, General",,,,,,,,,,,,,,
Women,0,2,0,0,1,0,4,1,0,8,,,,
Total,0,2,0,0,3,0,5,1,0,11,No,,,
50.0701,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Art/Art Studies, General",,,,,,,,,,,,,,
Women,1,0,0,0,0,0,0,0,0,1,,,,
Total,1,0,0,0,0,0,0,0,0,1,No,,,
50.0901,5 - Bachelor's degree,1,Men,0,1,0,0,1,0,1,0,0,3,
"Music, General",,,,,,,,,,,,,,
Women,0,1,0,1,0,0,3,0,0,5,,,,
Total,0,2,0,1,1,0,4,0,0,8,No,,,
50.0901,5 - Bachelor's degree,2,Men,1,0,0,0,0,0,4,0,0,5,
"Music, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,1,0,0,0,0,0,5,0,0,6,No,,,
54.0101,5 - Bachelor's degree,1,Men,0,2,0,1,4,0,8,2,0,17,
"History, General",,,,,,,,,,,,,,
Women,0,1,0,0,1,0,5,0,0,7,,,,
Total,0,3,0,1,5,0,13,2,0,24,No,,,
54.0101,5 - Bachelor's degree,2,Men,2,0,0,1,0,0,4,0,0,7,
"History, General",,,,,,,,,,,,,,
Women,0,0,0,0,1,0,5,0,0,6,,,,
Total,2,0,0,1,1,0,9,0,0,13,No,,,
