CIP Code,Award Level,Major,Gender,U.S. Nonresident,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,
13.0901,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
Social and Philosophical Foundations of Education,,,,,,,,,,,,,,
Women,1,1,0,0,0,0,2,0,0,4,,,,
Total,1,1,0,0,0,0,3,0,0,5,No,,,
13.0901,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Social and Philosophical Foundations of Education,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,2,0,2,,,,
Total,0,0,0,0,0,0,0,2,0,2,No,,,
16.0402,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Russian Language and Literature,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,0,0,1,,,,
Total,0,1,0,0,0,0,0,0,0,1,No,,,
16.0402,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Russian Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,2,0,0,3,No,,,
16.0501,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
German Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,1,0,0,2,,,,
Total,0,0,0,0,1,0,2,0,0,3,No,,,
16.0901,5 - Bachelor's degree,1,Men,0,0,0,0,1,0,0,0,0,1,
French Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,4,0,0,5,,,,
Total,0,0,0,0,2,0,4,0,0,6,No,,,
16.0901,5 - Bachelor's degree,2,Men,2,0,0,0,0,0,0,0,0,2,
French Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,2,1,0,4,,,,
Total,2,0,0,0,1,0,2,1,0,6,No,,,
16.0905,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
16.0905,5 - Bachelor's degree,2,Men,0,1,0,0,0,0,0,0,0,1,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,4,0,1,0,0,2,0,0,7,,,,
Total,0,5,0,1,0,0,2,0,0,8,No,,,
16.12,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Classics and Classical Languages, Literatures, and Linguistics, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,0,0,2,,,,
Total,0,0,0,1,0,0,1,0,0,2,No,,,
16.1202,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Ancient/Classical Greek Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
22.0203,5 - Bachelor's degree,1,Men,1,0,0,1,1,0,2,0,0,5,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,1,2,0,0,0,0,2,1,0,6,,,,
Total,2,2,0,1,1,0,4,1,0,11,No,,,
22.0203,5 - Bachelor's degree,2,Men,0,1,0,0,0,0,1,1,0,3,
American/U.S. Law/Legal Studies/Jurisprudence,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,5,0,0,6,,,,
Total,0,1,0,1,0,0,6,1,0,9,No,,,
23.0101,5 - Bachelor's degree,1,Men,0,1,0,1,1,0,1,3,0,7,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,0,1,0,4,2,0,16,0,1,24,,,,
Total,0,2,0,5,3,0,17,3,1,31,No,,,
23.0101,5 - Bachelor's degree,2,Men,0,0,0,1,0,0,1,1,0,3,
"English Language and Literature, General",,,,,,,,,,,,,,
Women,0,0,2,2,0,0,1,2,0,7,,,,
Total,0,0,2,3,0,0,2,3,0,10,No,,,
26.0101,5 - Bachelor's degree,1,Men,0,0,0,3,1,0,4,2,0,10,
"Biology/Biological Sciences, General",,,,,,,,,,,,,,
Women,1,2,0,2,2,0,8,4,0,19,,,,
Total,1,2,0,5,3,0,12,6,0,29,No,,,
26.0101,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Biology/Biological Sciences, General",,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,0,1,2,,,,
Total,0,1,0,0,0,0,0,0,1,2,No,,,
26.0299,5 - Bachelor's degree,1,Men,1,2,0,2,0,0,2,1,0,8,
"Biochemistry, Biophysics and Molecular Biology, Other",,,,,,,,,,,,,,
Women,1,1,0,6,2,0,5,0,0,15,,,,
Total,2,3,0,8,2,0,7,1,0,23,No,,,
26.0299,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Biochemistry, Biophysics and Molecular Biology, Other",,,,,,,,,,,,,,
Women,0,0,0,2,0,0,1,1,0,4,,,,
Total,0,0,0,2,0,0,1,1,0,4,No,,,
26.1501,5 - Bachelor's degree,1,Men,0,0,0,4,1,0,3,0,0,8,
Neuroscience,,,,,,,,,,,,,,
Women,0,1,0,2,1,0,1,0,0,5,,,,
Total,0,1,0,6,2,0,4,0,0,13,No,,,
26.1501,5 - Bachelor's degree,2,Men,2,0,0,0,0,0,0,0,0,2,
Neuroscience,,,,,,,,,,,,,,
Women,2,0,0,1,0,0,6,1,0,10,,,,
Total,4,0,0,1,0,0,6,1,0,12,No,,,
27.0101,5 - Bachelor's degree,1,Men,6,2,0,3,1,0,9,2,0,23,
"Mathematics, General",,,,,,,,,,,,,,
Women,1,5,0,4,0,0,9,1,2,22,,,,
Total,7,7,0,7,1,0,18,3,2,45,No,,,
27.0101,5 - Bachelor's degree,2,Men,5,1,0,5,2,0,13,1,0,27,
"Mathematics, General",,,,,,,,,,,,,,
Women,4,0,0,4,1,0,6,0,2,17,,,,
Total,9,1,0,9,3,0,19,1,2,44,No,,,
27.0501,5 - Bachelor's degree,1,Men,1,0,0,0,1,0,1,0,0,3,
"Statistics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,1,0,0,0,1,0,1,0,0,3,No,,,
27.0501,5 - Bachelor's degree,2,Men,1,0,0,1,0,0,2,0,0,4,
"Statistics, General",,,,,,,,,,,,,,
Women,2,0,0,4,0,0,1,0,1,8,,,,
Total,3,0,0,5,0,0,3,0,1,12,No,,,
30.9999,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,0,0,0,1,
"Multi-/Interdisciplinary Studies, Other",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,1,0,0,0,0,0,0,0,0,1,No,,,
38.0101,5 - Bachelor's degree,1,Men,0,2,0,0,2,0,0,1,0,5,
Philosophy,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,1,0,2,,,,
Total,0,3,0,0,2,0,0,2,0,7,No,,,
38.0101,5 - Bachelor's degree,2,Men,0,0,0,1,0,0,1,1,0,3,
Philosophy,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,3,0,1,5,,,,
Total,0,0,0,2,0,0,4,1,1,8,No,,,
38.0201,5 - Bachelor's degree,1,Men,0,0,0,1,0,0,1,0,0,2,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,1,0,0,1,0,0,2,No,,,
38.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Religion/Religious Studies,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,0,0,1,0,0,0,0,0,1,No,,,
40.0201,5 - Bachelor's degree,1,Men,0,0,0,0,1,0,1,1,0,3,
Astronomy,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,1,0,2,1,0,4,No,,,
40.0501,5 - Bachelor's degree,1,Men,0,3,0,1,2,0,2,2,1,11,
"Chemistry, General",,,,,,,,,,,,,,
Women,2,2,0,5,0,0,1,1,1,12,,,,
Total,2,5,0,6,2,0,3,3,2,23,No,,,
40.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,1,0,1,
"Chemistry, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,1,0,1,No,,,
40.0601,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,1,0,0,0,0,1,0,0,2,,,,
Total,0,1,0,0,0,0,1,0,0,2,No,,,
40.0601,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Geology/Earth Science, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,1,0,3,,,,
Total,0,0,0,1,0,0,1,1,0,3,No,,,
40.0801,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
"Physics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
40.0801,5 - Bachelor's degree,2,Men,2,0,0,0,0,0,0,0,0,2,
"Physics, General",,,,,,,,,,,,,,
Women,0,0,0,1,0,0,1,1,0,3,,,,
Total,2,0,0,1,0,0,1,1,0,5,No,,,
42.2799,5 - Bachelor's degree,1,Men,0,5,0,2,2,0,5,1,0,15,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,0,1,0,4,1,0,8,1,0,15,,,,
Total,0,6,0,6,3,0,13,2,0,30,No,,,
42.2799,5 - Bachelor's degree,2,Men,1,1,0,1,1,0,5,1,0,10,
"Research and Experimental Psychology, Other",,,,,,,,,,,,,,
Women,1,5,0,2,0,0,10,3,0,21,,,,
Total,2,6,0,3,1,0,15,4,0,31,No,,,
45.0201,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
"Anthropology, General",,,,,,,,,,,,,,
Women,0,1,0,0,0,0,2,0,2,5,,,,
Total,0,1,0,0,0,0,3,0,2,6,No,,,
45.0603,5 - Bachelor's degree,1,Men,3,4,0,7,3,0,25,1,2,45,
Econometrics and Quantitative Economics,,,,,,,,,,,,,,
Women,4,1,0,3,1,0,17,2,1,29,,,,
Total,7,5,0,10,4,0,42,3,3,74,No,,,
45.0603,5 - Bachelor's degree,2,Men,2,0,0,1,0,0,3,3,0,9,
Econometrics and Quantitative Economics,,,,,,,,,,,,,,
Women,3,0,0,2,0,0,2,0,1,8,,,,
Total,5,0,0,3,0,0,5,3,1,17,No,,,
45.1001,5 - Bachelor's degree,1,Men,2,2,0,1,3,0,5,1,0,14,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,0,4,0,2,1,0,9,1,0,17,,,,
Total,2,6,0,3,4,0,14,2,0,31,No,,,
45.1001,5 - Bachelor's degree,2,Men,3,3,0,2,2,0,6,0,0,16,
"Political Science and Government, General",,,,,,,,,,,,,,
Women,0,3,0,0,3,0,6,2,0,14,,,,
Total,3,6,0,2,5,0,12,2,0,30,No,,,
45.1101,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Sociology, General",,,,,,,,,,,,,,
Women,0,1,0,1,0,0,2,1,0,5,,,,
Total,0,1,0,1,0,0,2,1,0,5,No,,,
45.1101,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
"Sociology, General",,,,,,,,,,,,,,
Women,0,2,0,0,2,0,2,0,0,6,,,,
Total,0,2,0,0,2,0,3,0,0,7,No,,,
50.0501,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
50.0501,5 - Bachelor's degree,2,Men,0,0,0,0,1,0,0,0,0,1,
"Drama and Dramatics/Theatre Arts, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,2,0,0,2,,,,
Total,0,0,0,0,1,0,2,0,0,3,No,,,
50.0601,5 - Bachelor's degree,1,Men,1,1,0,0,0,0,1,0,0,3,
Film/Cinema/Media Studies,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,1,0,0,2,,,,
Total,1,2,0,0,0,0,2,0,0,5,No,,,
50.0601,5 - Bachelor's degree,2,Men,0,2,0,1,0,0,0,0,0,3,
Film/Cinema/Media Studies,,,,,,,,,,,,,,
Women,1,0,0,0,0,0,0,0,0,1,,,,
Total,1,2,0,1,0,0,0,0,0,4,No,,,
50.0701,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,0,0,1,
"Art/Art Studies, General",,,,,,,,,,,,,,
Women,0,2,0,2,1,0,9,0,0,14,,,,
Total,0,2,0,2,1,0,10,0,0,15,No,,,
50.0701,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Art/Art Studies, General",,,,,,,,,,,,,,
Women,0,1,0,1,0,0,0,0,0,2,,,,
Total,0,1,0,1,0,0,0,0,0,2,No,,,
50.0901,5 - Bachelor's degree,1,Men,1,0,0,0,1,0,0,0,0,2,
"Music, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,1,0,0,0,1,0,0,0,0,2,No,,,
50.0901,5 - Bachelor's degree,2,Men,1,0,0,2,0,0,3,0,0,6,
"Music, General",,,,,,,,,,,,,,
Women,0,0,0,2,1,0,0,0,0,3,,,,
Total,1,0,0,4,1,0,3,0,0,9,No,,,
54.0101,5 - Bachelor's degree,1,Men,0,0,0,1,1,0,5,1,0,8,
"History, General",,,,,,,,,,,,,,
Women,1,1,0,0,0,0,2,1,1,6,,,,
Total,1,1,0,1,1,0,7,2,1,14,No,,,
54.0101,5 - Bachelor's degree,2,Men,1,0,0,2,0,0,1,0,0,4,
"History, General",,,,,,,,,,,,,,
Women,1,0,0,0,1,0,3,0,0,5,,,,
Total,2,0,0,2,1,0,4,0,0,9,No,,,
